filename,function_name,n,time,memory,storage,marshaling,no_cache,hash,intra_cache,inter_cache
teste_multiprocessing.py,fib,50,5.12217,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,50,0.23401,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,51,4.98031,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,51,0.23213,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,52,5.32446,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,52,0.23413,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,53,5.53418,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,53,0.29228,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,54,5.1968,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,54,0.23305,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,55,5.72835,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,55,0.23125,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,56,5.69286,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,56,0.22767,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,57,5.97408,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,57,0.2356,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,58,5.41896,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,58,0.2286,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,59,5.89016,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,59,0.2304,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,60,5.46879,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,60,0.23224,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,61,6.17147,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,61,0.2333,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,62,5.80655,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,62,0.22819,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,63,6.30471,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,63,0.23617,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,64,6.26998,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,64,0.22809,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,65,6.34307,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,65,0.22963,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,66,6.51111,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,66,0.23606,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,67,4.23309,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,67,0.23503,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,68,3.24407,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,68,0.22878,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,69,3.34569,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,69,0.226,2d-mp,pickle,db,False,md5,True,True
teste_multiprocessing.py,fib,70,3.38127,2d-mp,pickle,db,False,md5,True,False
teste_multiprocessing.py,fib,70,0.229,2d-mp,pickle,db,False,md5,True,True
